<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;230918;000000;174.48;174.66;172.05;172.8;20481720
GAZP;D;230919;000000;172.99;173.94;168.6;168.93;43194470
GAZP;D;230920;000000;169.3;170.25;167.1;169.11;34206030
GAZP;D;230921;000000;168.55;169.38;165.72;165.85;30316740
GAZP;D;230922;000000;166.15;167;165.1;166.7;22531980
GAZP;D;230925;000000;166.71;168.05;165.2;165.87;24208290
GAZP;D;230926;000000;165.83;165.85;163.51;165.36;26705860
GAZP;D;230927;000000;165.75;166.92;165.11;165.53;18500170
GAZP;D;230928;000000;165.81;169.77;165.31;169.58;28813860
GAZP;D;230929;000000;169.18;170.39;166.6;167.09;35820090
GAZP;D;231002;000000;167.79;168.86;165.51;166.08;24340960
GAZP;D;231003;000000;166;167.25;164.81;166.75;17332720
GAZP;D;231004;000000;166.61;167.59;165.15;165.4;20139060
GAZP;D;231005;000000;165.61;166.1;164.84;166.06;15209950
GAZP;D;231006;000000;166.3;166.86;165.1;166.59;18264830
GAZP;D;231009;000000;167.3;167.97;166.62;167.06;21651710
GAZP;D;231010;000000;167.38;168.8;166.86;168.03;18529510
GAZP;D;231011;000000;168.51;171.4;167.3;167.89;59934340
GAZP;D;231012;000000;167.9;169.8;167.4;169.5;31774850
GAZP;D;231013;000000;169.88;170.79;167.15;170.2;38531310
GAZP;D;231016;000000;170.51;172.91;170.51;172.55;41331360
GAZP;D;231017;000000;172.73;173.3;171.03;171.97;26708000
GAZP;D;231018;000000;172.68;172.68;168.7;170.18;31746140
GAZP;D;231019;000000;169.95;171;168.3;170.38;31661350
GAZP;D;231020;000000;170.38;172.15;169.12;171.39;25318740
GAZP;D;231023;000000;171.8;172.44;169.9;170.39;19890180
GAZP;D;231024;000000;170.42;171.24;169.76;170.19;16087260
GAZP;D;231025;000000;170.21;170.5;169;169.62;18075570
GAZP;D;231026;000000;169.96;170.47;168.4;168.45;21053800
GAZP;D;231027;000000;168.37;169.45;167.17;167.26;21518590
GAZP;D;231030;000000;167.27;168.44;166.35;167.16;16389060
GAZP;D;231031;000000;167.16;168.42;166.7;167.88;17206810
GAZP;D;231101;000000;167.88;170.23;167.83;170.08;21089710
GAZP;D;231102;000000;170.34;171.31;168;168.18;26449760
GAZP;D;231103;000000;168.22;170;167.5;169.19;16627750
GAZP;D;231106;000000;169.18;170.29;168.83;169.48;9319190
GAZP;D;231107;000000;169.12;169.98;167.2;168.53;21792090
GAZP;D;231108;000000;168.8;169.44;168.47;168.49;15352990
GAZP;D;231109;000000;168.49;169.63;167.58;168.16;20996900
GAZP;D;231110;000000;168.24;168.48;167.62;168.25;12973300
GAZP;D;231113;000000;168.25;168.89;167.7;167.85;13581700
GAZP;D;231114;000000;167.27;167.29;165.62;165.86;25262960
GAZP;D;231115;000000;165.86;167;165.52;166.46;12794320
GAZP;D;231116;000000;166.4;166.81;165.2;165.48;12922700
GAZP;D;231117;000000;165.45;165.74;163.48;165.31;24120540
GAZP;D;231120;000000;165.24;166.64;164.64;165.51;12629890
GAZP;D;231121;000000;165.39;165.68;164.5;165.15;11402940
GAZP;D;231122;000000;165.34;166.2;164.82;165.37;11524190
GAZP;D;231123;000000;165.37;165.69;164.02;164.11;10765740
GAZP;D;231124;000000;164.26;165.19;164.1;164.71;13563230
GAZP;D;231127;000000;165.1;165.37;162.01;162.79;23665130
GAZP;D;231128;000000;162.82;164.83;161.55;164.21;16806780
GAZP;D;231129;000000;164;165.63;162.71;163.17;17297850
GAZP;D;231130;000000;163.17;164.62;162.12;163.23;12305730
GAZP;D;231201;000000;163.22;164.22;162.56;162.61;10923950
GAZP;D;231204;000000;162.47;162.48;159.81;160.01;21906450
GAZP;D;231205;000000;160.3;161.44;159.1;160.46;15001770
GAZP;D;231206;000000;160.73;161.41;158.5;158.74;15501300
GAZP;D;231207;000000;158.87;164.77;157.26;163.38;48519210
GAZP;D;231208;000000;163.89;164.17;160.5;161.5;20172760
GAZP;D;231211;000000;161.45;167.14;160.19;164.87;53013420
GAZP;D;231212;000000;164.87;165.54;161.82;162.46;25358320
GAZP;D;231213;000000;161.97;164.5;161.82;163.92;13358800
GAZP;D;231214;000000;164.12;164.76;160.81;160.89;16968840
GAZP;D;231215;000000;161.13;164.42;161.02;164.2;23888840
GAZP;D;231218;000000;165;167.32;164.99;167;33032970
GAZP;D;231219;000000;167.1;168.89;165.12;165.48;38389440
GAZP;D;231220;000000;165.33;165.33;163.12;163.56;27570870
GAZP;D;231221;000000;163.3;163.71;161.19;161.57;26442660
GAZP;D;231222;000000;161.92;163.2;161.62;162.09;15391770
GAZP;D;231225;000000;162.49;162.77;160.4;161.09;22372720
GAZP;D;231226;000000;161.33;161.8;160.77;161;18570500
GAZP;D;231227;000000;161.2;161.4;159.81;159.86;23711980
GAZP;D;231228;000000;159.95;160.38;158.22;159.14;24851430
GAZP;D;231229;000000;159.49;160.79;159.14;159.52;19239480
GAZP;D;240103;000000;159.73;161.58;159.73;161.44;8080170
GAZP;D;240104;000000;161.51;161.64;161;161.25;4859980
GAZP;D;240105;000000;161.22;162.3;161.07;161.94;8773230
GAZP;D;240108;000000;162.43;163.2;162;163.05;11120640
GAZP;D;240109;000000;163.01;163.06;161.77;162.41;9592690
GAZP;D;240110;000000;162.41;163.7;162;162.87;10743240
GAZP;D;240111;000000;162.92;162.93;161.93;162.5;13085980
GAZP;D;240112;000000;162.55;163.98;162.2;163.37;14743890
GAZP;D;240115;000000;163.8;164.4;163.26;163.34;11051540
GAZP;D;240116;000000;163.28;164.18;162.37;163.22;12180560
GAZP;D;240117;000000;163.38;164.2;163;164.04;8623410
